               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11808,            0.046121,            0.041897,           0.0049751,            0.029412,           0.0028325,          0.00082341,             0.11985,             0.03395,            0.045388,              0.0973,              0.0003,              0.0003
                   1,             0.11555,            0.044292,            0.040446,           0.0079745,             0.04902,           0.0059611,           0.0021691,             0.11533,            0.034011,            0.043348,            0.093677,           0.0006769,           0.0006769
                   2,             0.11248,            0.049651,            0.037082,           0.0086957,            0.058824,            0.011295,            0.003206,             0.10883,            0.034808,            0.040796,            0.090027,           0.0010274,           0.0010274
                   3,             0.10628,            0.052131,            0.036734,           0.0099638,             0.10784,            0.024864,           0.0077658,             0.10018,            0.036676,            0.037106,            0.086351,           0.0013515,           0.0013515
                   4,             0.10083,            0.052167,            0.030281,            0.010566,              0.1489,            0.040888,           0.0097518,            0.094541,            0.037797,            0.034796,            0.082649,           0.0016492,           0.0016492
                   5,            0.094971,            0.057242,            0.032615,           0.0097923,             0.13909,            0.038663,            0.010441,            0.089413,            0.038378,            0.032092,            0.078921,           0.0019205,           0.0019205
                   6,             0.09411,            0.055769,            0.027535,            0.052501,             0.33395,             0.12802,            0.031808,            0.083786,            0.038878,            0.029101,            0.075165,           0.0021654,           0.0021654
                   7,            0.088194,            0.059952,            0.026517,             0.21673,             0.16422,             0.13412,            0.043869,            0.080867,            0.037809,            0.025989,            0.071384,           0.0023839,           0.0023839
                   8,            0.083942,            0.061883,            0.025278,             0.68196,             0.20448,             0.22381,            0.070431,            0.077211,            0.036423,             0.02277,            0.067576,            0.002576,            0.002576
                   9,            0.077766,            0.060154,            0.022864,              0.7117,             0.15041,             0.14424,            0.041302,            0.074137,            0.035163,            0.019407,            0.063742,           0.0027417,           0.0027417
                  10,            0.077095,            0.050349,            0.020562,            0.070619,             0.10784,            0.045874,            0.010771,            0.078386,             0.03429,             0.01678,            0.059881,            0.002881,            0.002881
                  11,            0.073425,            0.046479,             0.01668,             0.50717,             0.15135,            0.096032,            0.029141,            0.074235,            0.032413,            0.014926,            0.055994,           0.0029939,           0.0029939
                  12,            0.071959,            0.044594,            0.016854,             0.39526,             0.52867,             0.34416,             0.12405,            0.072388,            0.031627,            0.013355,             0.05208,           0.0030804,           0.0030804
                  13,            0.072411,            0.048898,            0.015643,             0.16943,             0.39461,             0.15626,            0.064034,            0.075499,            0.030699,            0.012574,            0.048141,           0.0031405,           0.0031405
                  14,            0.069494,            0.045355,            0.013249,             0.57314,             0.25061,             0.20916,            0.093138,            0.072323,            0.030332,            0.011022,            0.044174,           0.0031742,           0.0031742
                  15,            0.070748,            0.041828,            0.012526,             0.44454,             0.49656,             0.46058,             0.15806,            0.065753,            0.030569,            0.010384,            0.040182,           0.0031815,           0.0031815
                  16,            0.065958,            0.042504,            0.012319,             0.60323,             0.23825,             0.18999,            0.087412,            0.065842,            0.030303,           0.0096692,            0.036162,           0.0031624,           0.0031624
                  17,            0.062806,            0.041352,            0.011216,             0.35948,             0.55301,             0.45635,             0.20167,            0.066944,            0.028991,           0.0083979,            0.032117,           0.0031169,           0.0031169
                  18,            0.066616,            0.044177,            0.010269,             0.50524,             0.62661,             0.50999,             0.18475,            0.063355,            0.028545,           0.0079068,            0.028045,            0.003045,            0.003045
                  19,            0.062421,            0.042508,           0.0099549,             0.51771,             0.62929,             0.61949,             0.25167,            0.060122,            0.026979,           0.0072987,            0.023947,           0.0029467,           0.0029467
                  20,            0.057803,            0.043209,            0.008746,             0.29504,             0.50919,             0.29864,             0.12285,            0.066364,             0.02588,           0.0064888,            0.019822,            0.002822,            0.002822
                  21,             0.06518,            0.040271,           0.0078875,             0.74864,             0.56863,             0.68351,             0.32229,            0.054703,            0.025101,           0.0062029,            0.015671,           0.0026709,           0.0026709
                  22,            0.056106,             0.04228,           0.0078108,             0.40022,             0.50676,             0.50765,             0.23652,            0.059745,            0.025114,           0.0058873,            0.011493,           0.0024934,           0.0024934
                  23,            0.058958,            0.038191,            0.007504,             0.73508,              0.6709,             0.76636,             0.33988,            0.052937,             0.02448,           0.0057311,           0.0072895,           0.0022895,           0.0022895
                  24,             0.05591,            0.039694,           0.0065439,             0.68087,             0.69629,             0.75474,             0.31644,            0.053897,            0.024377,           0.0054541,           0.0030592,           0.0020592,           0.0020592
                  25,            0.057108,             0.03437,           0.0067992,             0.72288,                 0.7,             0.72026,             0.31752,            0.050471,            0.024016,           0.0052525,             0.00175,             0.00175,             0.00175
                  26,            0.053643,            0.037594,           0.0061035,             0.47974,             0.72178,             0.63396,             0.31576,            0.053319,            0.023896,           0.0050205,             0.00175,             0.00175,             0.00175
                  27,            0.056895,            0.038058,           0.0064879,              0.6837,              0.6781,              0.7367,              0.3118,            0.047406,            0.023479,            0.004906,             0.00142,             0.00142,             0.00142
                  28,             0.05208,            0.042493,           0.0059091,             0.68228,             0.72253,             0.81662,             0.40215,             0.04896,            0.023379,           0.0047897,             0.00109,             0.00109,             0.00109
                  29,            0.052189,            0.039642,           0.0060535,             0.78471,             0.69802,             0.85438,             0.39561,            0.045771,            0.023066,           0.0047992,             0.00076,             0.00076,             0.00076
